id,title,authors,published_date,url,pdf
2505.10379v1,Cosymplectic Chern--Hamilton conjecture,"Søren Dyhr, Ángel González-Prieto, Eva Miranda, Daniel Peralta-Salas",2025-05-15,http://arxiv.org/abs/2505.10379v1,http://arxiv.org/pdf/2505.10379v1
2505.09950v1,Unfolding of equivariant F-bundles and application to the mirror symmetry of flag varieties,"Thorgal Hinault, Changzheng Li, Tony Yue YU, Chi Zhang, Shaowu Zhang",2025-05-15,http://arxiv.org/abs/2505.09950v1,http://arxiv.org/pdf/2505.09950v1
2505.09550v1,Cohomologous symplectic forms with different Gromov widths,Shengzhen Ning,2025-05-14,http://arxiv.org/abs/2505.09550v1,http://arxiv.org/pdf/2505.09550v1
2505.09492v1,Homotopy reduction of multisymplectic structures in Lagrangian field theory,Janina Bernardy,2025-05-14,http://arxiv.org/abs/2505.09492v1,http://arxiv.org/pdf/2505.09492v1
2505.09467v1,Pre-Kähler structures and finite-nondegeneracy,"Omid Makhmali, David Sykes",2025-05-14,http://arxiv.org/abs/2505.09467v1,http://arxiv.org/pdf/2505.09467v1
2505.08624v1,Nonprojective crepant resolutions of quiver varieties,"Daniel Kaplan, Travis Schedler",2025-05-13,http://arxiv.org/abs/2505.08624v1,http://arxiv.org/pdf/2505.08624v1
2505.08147v1,Zero Divisor Manifolds,Keqin Liu,2025-05-13,http://arxiv.org/abs/2505.08147v1,http://arxiv.org/pdf/2505.08147v1
2505.07663v1,Rigidity and flexibility in $p$-adic symplectic geometry,"Luis Crespo, Álvaro Pelayo",2025-05-12,http://arxiv.org/abs/2505.07663v1,http://arxiv.org/pdf/2505.07663v1
2505.07599v1,Double-point enhanced GRID invariants and Lagrangian cobordisms,"Ashton Lewis, Zachary Ojakli, Ina Petkova, Benjamin Shapiro",2025-05-12,http://arxiv.org/abs/2505.07599v1,http://arxiv.org/pdf/2505.07599v1
2505.07572v1,The strong Viterbo conjecture and various flavours of duality in Lagrangian products,Alejandro Vicente,2025-05-12,http://arxiv.org/abs/2505.07572v1,http://arxiv.org/pdf/2505.07572v1
2505.07228v1,Nakai-Moishezon criteria and the toric Thomas-Yau conjecture,Jacopo Stoppa,2025-05-12,http://arxiv.org/abs/2505.07228v1,http://arxiv.org/pdf/2505.07228v1
2505.07006v1,A structure theorem along fibers of extreme points of the momentum polytope,"Peter Heinzner, Christian Zöller",2025-05-11,http://arxiv.org/abs/2505.07006v1,http://arxiv.org/pdf/2505.07006v1
2505.06830v1,New systems of log-canonical coordinates on $SL(2)$ character varieties of compact Riemann surfaces,"Marco Bertola, Dmitry Korotkin, Jordi Pillet",2025-05-11,http://arxiv.org/abs/2505.06830v1,http://arxiv.org/pdf/2505.06830v1
2505.05779v1,A note on quantum Hamiltonian reduction and anomalies,"Boris M. Elfimov, Alexey A. Sharapov",2025-05-09,http://arxiv.org/abs/2505.05779v1,http://arxiv.org/pdf/2505.05779v1
2505.06024v1,Discretization of Dirac systems and port-Hamiltonian systems: the role of the constraint algorithm,"María Barbero-Liñán, Juan Manuel López Medel, David Martín de Diego",2025-05-09,http://arxiv.org/abs/2505.06024v1,http://arxiv.org/pdf/2505.06024v1
2505.05462v1,Marsden--Meyer--Weinstein reduction for $k$-contact field theories,"J. de Lucas, X. Rivas, S. Vilarino, B. M. Zawora",2025-05-08,http://arxiv.org/abs/2505.05462v1,http://arxiv.org/pdf/2505.05462v1
2505.05012v1,Contact isotopies in the coherent-constructible correspondence,"Jishnu Bose, Harold Williams",2025-05-08,http://arxiv.org/abs/2505.05012v1,http://arxiv.org/pdf/2505.05012v1
2505.05052v1,On invariants of families of lemniscate motions in the two-center problem,"Hanna Haeussler, Seongchan Kim",2025-05-08,http://arxiv.org/abs/2505.05052v1,http://arxiv.org/pdf/2505.05052v1
2505.04513v1,Complementary legs and symplectic rational balls,"John B. Etnyre, Burak Ozbagci, Bülent Tosun",2025-05-07,http://arxiv.org/abs/2505.04513v1,http://arxiv.org/pdf/2505.04513v1
2505.03978v1,De Rham Theory in Derived Differential Geometry,Gregory Taroyan,2025-05-06,http://arxiv.org/abs/2505.03978v1,http://arxiv.org/pdf/2505.03978v1
2505.03259v2,HKKN-stratifications in a non-compact framework,"Paul-Emile Paradan, Nicolas Ressayre",2025-05-06,http://arxiv.org/abs/2505.03259v2,http://arxiv.org/pdf/2505.03259v2
2505.02647v1,Equivariant Floer homology is isomorphic to reduced Floer homology,Julio Sampietro Christ,2025-05-05,http://arxiv.org/abs/2505.02647v1,http://arxiv.org/pdf/2505.02647v1
2505.02334v2,Symplectic Geometry of Higgs Moduli and the Hilbert Scheme of Points,Zelin Jia,2025-05-05,http://arxiv.org/abs/2505.02334v2,http://arxiv.org/pdf/2505.02334v2
2505.02731v1,Maximal Weinstein neighborhoods of symmetric R-spaces and their symplectic capacities,Johanna Bimmermann,2025-05-05,http://arxiv.org/abs/2505.02731v1,http://arxiv.org/pdf/2505.02731v1
2505.02772v1,Filtered Topology and Persistence in Stable Homotopy,John Miller,2025-05-05,http://arxiv.org/abs/2505.02772v1,http://arxiv.org/pdf/2505.02772v1
2505.01362v1,The Morse complex is an $\infty$-functor,Guillem Cazassus,2025-05-02,http://arxiv.org/abs/2505.01362v1,http://arxiv.org/pdf/2505.01362v1
2505.01276v1,Manin triples on multiplicative Courant algebroids,Ana Carolina Mançur,2025-05-02,http://arxiv.org/abs/2505.01276v1,http://arxiv.org/pdf/2505.01276v1
2505.00910v1,On the Fukaya categories of projective hypersurfaces of general type,Kazushi Ueda,2025-05-01,http://arxiv.org/abs/2505.00910v1,http://arxiv.org/pdf/2505.00910v1
2505.00501v2,Minimal Factorization of Chern-Simons Theory -- Gravitational Anyonic Edge Modes,"Thomas G. Mertens, Qi-Feng Wu",2025-05-01,http://arxiv.org/abs/2505.00501v2,http://arxiv.org/pdf/2505.00501v2
2505.00327v1,Aganagic's invariant is Khovanov homology,"Elise LePage, Vivek Shende",2025-05-01,http://arxiv.org/abs/2505.00327v1,http://arxiv.org/pdf/2505.00327v1
2505.00330v1,A topological constraint on clean Lagrangian intersections from $\mathbb{Q}$-valued augmentations,Yukihiro Okamoto,2025-05-01,http://arxiv.org/abs/2505.00330v1,http://arxiv.org/pdf/2505.00330v1
2504.21483v1,Functoriality of toric coherent-constructible correspondence,Yuze Sun,2025-04-30,http://arxiv.org/abs/2504.21483v1,http://arxiv.org/pdf/2504.21483v1
2504.21519v1,K-moduli of quasimaps and quasi-projectivity of moduli of K-stable Calabi-Yau fibrations over curves,"Kenta Hashizume, Masafumi Hattori",2025-04-30,http://arxiv.org/abs/2504.21519v1,http://arxiv.org/pdf/2504.21519v1
2504.20803v1,Continuation maps for the Morse fundamental group,Salammbo Connolly,2025-04-29,http://arxiv.org/abs/2504.20803v1,http://arxiv.org/pdf/2504.20803v1
2504.20489v1,Sign Convention for $A_{\infty}$-Operations in Bott-Morse Case,Kaoru Ono,2025-04-29,http://arxiv.org/abs/2504.20489v1,http://arxiv.org/pdf/2504.20489v1
2504.19466v1,The partial derivative of ratios of Schur polynomials,"Hans-Christian Herbig, Daniel Herden, Harper Kolehmainen, Christopher Seaton",2025-04-28,http://arxiv.org/abs/2504.19466v1,http://arxiv.org/pdf/2504.19466v1
2504.19857v1,Connected sums of Brieskorn contact $5$-spheres,"Florian Buck, Kai Zehmisch",2025-04-28,http://arxiv.org/abs/2504.19857v1,http://arxiv.org/pdf/2504.19857v1
2504.19542v1,Cosection localization via shifted symplectic geometry,"Young-Hoon Kiem, Hyeonjun Park",2025-04-28,http://arxiv.org/abs/2504.19542v1,http://arxiv.org/pdf/2504.19542v1
2504.19775v2,Lattice points in polytope boundaries and formal geometric quantization of singular Calabi Yau hypersurfaces in toric varieties,Jonathan Weitsman,2025-04-28,http://arxiv.org/abs/2504.19775v2,http://arxiv.org/pdf/2504.19775v2
2504.19993v1,Rigorous lower bounds for the domains of definition of extended generating functions,"B. Erdelyi, J. Hoefkens, M. Berz",2025-04-28,http://arxiv.org/abs/2504.19993v1,http://arxiv.org/pdf/2504.19993v1
2504.19945v1,Hyperkaehler Marriage of the two sphere with the hyperbolic space,Alice Barbora Tumpach,2025-04-28,http://arxiv.org/abs/2504.19945v1,http://arxiv.org/pdf/2504.19945v1
2504.19931v1,Infinite-dimensional Siegel disc as symplectic and Kaehler quotient,Alice Barbora Tumpach,2025-04-28,http://arxiv.org/abs/2504.19931v1,http://arxiv.org/pdf/2504.19931v1
2504.19929v1,Wahl singularities in degenerations of del Pezzo surfaces,"Giancarlo Urzúa, Juan Pablo Zúñiga",2025-04-28,http://arxiv.org/abs/2504.19929v1,http://arxiv.org/pdf/2504.19929v1
2504.19332v1,Reeb orbits frequently intersecting a symplectic surface,Michael Hutchings,2025-04-27,http://arxiv.org/abs/2504.19332v1,http://arxiv.org/pdf/2504.19332v1
2504.19220v1,Some memos on Stable Symplectic Structured Space II: Symplectic motives,Eita Haibara,2025-04-27,http://arxiv.org/abs/2504.19220v1,http://arxiv.org/pdf/2504.19220v1
2504.18853v1,Dirac structures in nonholonomic mechanics,"Katarzyna Grabowska, Michalina Borczyńska, Joanna Majsak, Tomasz Sobczak",2025-04-26,http://arxiv.org/abs/2504.18853v1,http://arxiv.org/pdf/2504.18853v1
2504.17870v1,$\mathcal{F}$-harmonic 3-forms and the Type IIA flow on 6-dimensional symplectic Lie algebras,Teng Fei,2025-04-24,http://arxiv.org/abs/2504.17870v1,http://arxiv.org/pdf/2504.17870v1
2504.17483v1,Global Gauge Symmetry Breaking in the Abelian Higgs Mechanism,"Silvester Borsboom, Sebastian De Haro",2025-04-24,http://arxiv.org/abs/2504.17483v1,http://arxiv.org/pdf/2504.17483v1
2504.16453v2,Foliation de Rham cohomology of generic Reeb foliations,Yong-Geun Oh,2025-04-23,http://arxiv.org/abs/2504.16453v2,http://arxiv.org/pdf/2504.16453v2
2504.16540v2,Contact homology of contact manifolds and its applications,Frédéric Bourgeois,2025-04-23,http://arxiv.org/abs/2504.16540v2,http://arxiv.org/pdf/2504.16540v2
2504.16494v1,Local Existence Of The Symplectic Gradient Flow On The Hyperkähler Four-dimensional Flat Torus,Pinsard Morel Lucas,2025-04-23,http://arxiv.org/abs/2504.16494v1,http://arxiv.org/pdf/2504.16494v1
2504.16458v2,Strict contactomorphisms are scarce,"Yong-Geun Oh, Yasha Savelyev",2025-04-23,http://arxiv.org/abs/2504.16458v2,http://arxiv.org/pdf/2504.16458v2
2504.16169v1,Symplectic approach to global stability,"Verónica Errasti Díez, Jordi Gaset Rifà, Manuel Lainz",2025-04-22,http://arxiv.org/abs/2504.16169v1,http://arxiv.org/pdf/2504.16169v1
2504.15583v1,Splitting the diagonal for broken maps,"Sushmita Venugopalan, Chris Woodward",2025-04-22,http://arxiv.org/abs/2504.15583v1,http://arxiv.org/pdf/2504.15583v1
2504.15207v1,Parametric Gromov width of Liouville domains,"Filip Broćić, Dylan Cant",2025-04-21,http://arxiv.org/abs/2504.15207v1,http://arxiv.org/pdf/2504.15207v1
2504.13485v1,Accurate semiclassical analysis of light propagation on tilted hyperplanes,"Patrick Gioia, San Vu Ngoc",2025-04-18,http://arxiv.org/abs/2504.13485v1,http://arxiv.org/pdf/2504.13485v1
2504.13114v1,Supersymmetric Poisson and Poisson-supersymmetric sigma models,"Thomas Basile, Athanasios Chatzistavrakidis, Sylvain Lavau",2025-04-17,http://arxiv.org/abs/2504.13114v1,http://arxiv.org/pdf/2504.13114v1
2504.13076v1,Extremal Lagrangian tori in toric domains,Shah Faisal,2025-04-17,http://arxiv.org/abs/2504.13076v1,http://arxiv.org/pdf/2504.13076v1
2504.13096v1,Tight and overtwisted contact structures,John B. Etnyre,2025-04-17,http://arxiv.org/abs/2504.13096v1,http://arxiv.org/pdf/2504.13096v1
2504.12061v1,A survey on orderability and contact non-squeezing,Igor Uljarević,2025-04-16,http://arxiv.org/abs/2504.12061v1,http://arxiv.org/pdf/2504.12061v1
2504.10790v1,Symplectic Non-hyperbolicity,Spencer Cattalani,2025-04-15,http://arxiv.org/abs/2504.10790v1,http://arxiv.org/pdf/2504.10790v1
2504.09968v4,Some memos on Stable Symplectic Structured Space,"Eita Haibara, Shelly Miyano",2025-04-14,http://arxiv.org/abs/2504.09968v4,http://arxiv.org/pdf/2504.09968v4
2504.10431v1,Comparison of symplectic capacities,Jonghyeon Ahn,2025-04-14,http://arxiv.org/abs/2504.10431v1,http://arxiv.org/pdf/2504.10431v1
2504.10729v1,On novel Hamiltonian descriptions of some three-dimensional non-conservative systems,"Aritra Ghosh, Anindya Ghose-Choudhury, Partha Guha",2025-04-14,http://arxiv.org/abs/2504.10729v1,http://arxiv.org/pdf/2504.10729v1
2504.10285v1,Grothendieck-Springer resolutions and TQFTs,"Peter Crooks, Maxence Mayrand",2025-04-14,http://arxiv.org/abs/2504.10285v1,http://arxiv.org/pdf/2504.10285v1
2504.09293v1,"Morita equivalences, moduli spaces and flag varieties",Daniel Álvarez,2025-04-12,http://arxiv.org/abs/2504.09293v1,http://arxiv.org/pdf/2504.09293v1
2504.09284v1,Uniqueness of holomorphic quilts lifted from holomorphic bigons on surfaces,Zuyi Zhang,2025-04-12,http://arxiv.org/abs/2504.09284v1,http://arxiv.org/pdf/2504.09284v1
2504.09034v1,Real Heegaard Floer Homology,"Gary Guth, Ciprian Manolescu",2025-04-12,http://arxiv.org/abs/2504.09034v1,http://arxiv.org/pdf/2504.09034v1
2504.08144v1,Spectral Networks and Betti Lagrangians,"Roger Casals, Yoon Jae Nho",2025-04-10,http://arxiv.org/abs/2504.08144v1,http://arxiv.org/pdf/2504.08144v1
2504.06773v2,On the Destruction of Invariant Lagrangian Graphs for Conformal Symplectic Twist Maps,"Alfonso Sorrentino, Lin Wang",2025-04-09,http://arxiv.org/abs/2504.06773v2,http://arxiv.org/pdf/2504.06773v2
2504.06648v2,Semiclassical concentration estimates for Berezin-Toeplitz quasimodes for regular energies,Nathan Réguer,2025-04-09,http://arxiv.org/abs/2504.06648v2,http://arxiv.org/pdf/2504.06648v2
2504.06472v1,"Invariant Poisson Structures on Homogeneous Manifolds: Algebraic Characterization, Symplectic Foliation, and Contravariant Connections","Abdelhak Abouqateb, Charif Bourzik",2025-04-08,http://arxiv.org/abs/2504.06472v1,http://arxiv.org/pdf/2504.06472v1
2504.06030v1,"NQG III -- Two-Centre Problems, Whirlpool Galaxy and Toy Neutron Stars","Richard Durran, Aubrey Truman",2025-04-08,http://arxiv.org/abs/2504.06030v1,http://arxiv.org/pdf/2504.06030v1
2504.06447v1,Poisson Manifolds of Compact Types,"Marius Crainic, Rui Loja Fernandes, David Martínez Torres",2025-04-08,http://arxiv.org/abs/2504.06447v1,http://arxiv.org/pdf/2504.06447v1
2504.06085v2,Contact embeddings of 3-dimensional contact groups,Eugenio Bellini,2025-04-08,http://arxiv.org/abs/2504.06085v2,http://arxiv.org/pdf/2504.06085v2
2504.06074v1,"On Contact Round Surgeries on $(\mathbb{S}^3,ξ_{st})$ and Their Diagrams","Prerak Deep, Dheeraj Kulkarni",2025-04-08,http://arxiv.org/abs/2504.06074v1,http://arxiv.org/pdf/2504.06074v1
2504.05032v1,Contact surgery numbers of projective spaces,"Marc Kegel, Monika Yadav",2025-04-07,http://arxiv.org/abs/2504.05032v1,http://arxiv.org/pdf/2504.05032v1
2504.04975v1,Geometric quantization of generalized Hirzebruch fibrations,Andrea Piccirilli,2025-04-07,http://arxiv.org/abs/2504.04975v1,http://arxiv.org/pdf/2504.04975v1
2504.03034v2,Polarization algebras and the geometry of commuting varieties,Josh Katz,2025-04-03,http://arxiv.org/abs/2504.03034v2,http://arxiv.org/pdf/2504.03034v2
2504.02189v1,Solvable Structures for Hamiltonian Systems,"Sasa Kresic-Juric, Concepcion Muriel, Adrian Ruiz",2025-04-03,http://arxiv.org/abs/2504.02189v1,http://arxiv.org/pdf/2504.02189v1
2504.01272v1,The N-Body Problem on Coadjoint Orbits,"Holger Dullin, Richard Montgomery",2025-04-02,http://arxiv.org/abs/2504.01272v1,http://arxiv.org/pdf/2504.01272v1
2504.01889v2,On SYZ mirrors of Hirzebruch surfaces,Honghao Jing,2025-04-02,http://arxiv.org/abs/2504.01889v2,http://arxiv.org/pdf/2504.01889v2
2504.00997v1,The contact Eden bracket and the evolution of observables,"V. M. Jiménez, M. De León",2025-04-01,http://arxiv.org/abs/2504.00997v1,http://arxiv.org/pdf/2504.00997v1
2504.00805v1,Positivity of intersections of two analytic disks at their common boundary point,S. Ivashkovych,2025-04-01,http://arxiv.org/abs/2504.00805v1,http://arxiv.org/pdf/2504.00805v1
2504.00965v2,Regular Bohr-Sommerfeld rules for non-self-adjoint Berezin--Toeplitz operators and complex Lagrangian states,"Alix Deleporte, Yohann Le Floch",2025-04-01,http://arxiv.org/abs/2504.00965v2,http://arxiv.org/pdf/2504.00965v2
2504.00931v1,Moduli spaces of framed logarithmic and parabolic connections on a Riemann surface,"Indranil Biswas, Michi-aki Inaba, Arata Komyo, Masa-Hiko Saito",2025-04-01,http://arxiv.org/abs/2504.00931v1,http://arxiv.org/pdf/2504.00931v1
2504.00866v1,Virtual nonlinear nonholonomic constraints from a symplectic point of view,"Efstratios Stratoglou, Alexandre Anahory Simoes, Anthony Bloch, Leonardo Colombo",2025-04-01,http://arxiv.org/abs/2504.00866v1,http://arxiv.org/pdf/2504.00866v1
